1,Machine Base,Waste Tape Box AA7XN00,1,Set,2MIII,0
2,Machine Base,Waste Tape Box AA7XN00,2,Set,4MIII,0
3,Machine Base,Anti-Vibrating Pad PG01900,6,Pcs,4MIII,0
4,Machine Base,PG05500 Special Pad for 2M III Base,4,Pcs,2MIII,0
5,Machine Base,Special leveling sheet for 2M III Base,1,Set,2MIII,0
6,Machine Base,Anchor Kit (For securing 2M III Base to floor in stand alone configuration),1,Set,2MIII,1
7,Side Cover,Left Side Cover  with window,1,Set,,0
8,Side Cover,Right Side Cover with window,1,Set,,0
9,Connection between Bases,SMEMA Cable (1m) RH39020 ,,Set,,0
10,Connection between Bases,SMEMA Cable (1.5m) RH21380,,Set,,0
11,Connection between Bases,Intermediate Cover and connecting BKT between NXTIII bases ,2个M3必有一个隔板，或1个M6必有一个隔板，然后-1,Set,,0
